nitiji,kennsuu,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:30,19:00,23:59
2017/04/12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/04/13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/04/14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/04/16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/04/17,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/04/18,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/04/19,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017/04/20,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017/04/21,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017/04/22,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/04/23,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/04/24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/04/28,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017/04/29,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/04/30,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/05/01,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017/05/02,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017/05/03,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/05/04,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/05/12,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017/05/13,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/05/14,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/05/15,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017/05/16,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017/05/20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/05/21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/05/22,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2017/05/23,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017/05/24,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2017/05/25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/05/26,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/05/27,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017/05/28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/05/29,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017/05/30,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/05/31,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/06/01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/06/02,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/06/05,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/06/06,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/06/07,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/06/08,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/07/08,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/07/09,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/07/10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
